decision_id,record_type,occurrence_index,unit_id,section,source_path,source_line,target_path,target_line_start,target_line_end,segment_id,script,locale,chosen_rendering,decision_status,review_priority,accepted_reader_release,accepted_pdf_page,page_binding_status,expert_question
JV-T011,terminology_decision,1,OLP-0005,sets-functions-relations/sets/basics,upstream/content/sets-functions-relations/sets/basics.tex,99,translation/content/sets-functions-relations/sets/basics.tex,101,101,,Latn,jv-Latn-ID,bukti / buktekna,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “bukti / buktekna” clear and idiomatic for the constrained sense “proof / prove”, or should one of these be preferred: pambuktian; mbuktekake, derivasi?"
JV-T012,terminology_decision,1,OLP-0031,sets-functions-relations/size-of-sets/pairing,,,translation/content/sets-functions-relations/size-of-sets/pairing.tex,80,80,,Latn,jv-Latn-ID,bener / salah,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “bener / salah” clear and idiomatic for the constrained sense “true / false”, or should one of these be preferred: bener; kleru, benar; palsu?"
JV-T013,terminology_decision,1,OLP-0007,sets-functions-relations/sets/important-sets,upstream/content/sets-functions-relations/sets/important-sets.tex,18,translation/content/sets-functions-relations/sets/important-sets.tex,18,18,,Latn,jv-Latn-ID,wilangan natural,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “wilangan natural” clear and idiomatic for the constrained sense “natural number”, or should one of these be preferred: wilangan alam, wilangan asli?"
JV-T014,terminology_decision,1,OLP-0007,sets-functions-relations/sets/important-sets,upstream/content/sets-functions-relations/sets/important-sets.tex,20,translation/content/sets-functions-relations/sets/important-sets.tex,20,20,,Latn,jv-Latn-ID,wilangan wutuh,provisional_composition,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “wilangan wutuh” clear and idiomatic for the constrained sense “integer”, or should one of these be preferred: integer, wilangan bulat?"
JV-T015,terminology_decision,1,OLP-0007,sets-functions-relations/sets/important-sets,upstream/content/sets-functions-relations/sets/important-sets.tex,22,translation/content/sets-functions-relations/sets/important-sets.tex,22,22,,Latn,jv-Latn-ID,wilangan rasional / wilangan real,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “wilangan rasional / wilangan real” clear and idiomatic for the constrained sense “rational / real number”, or should one of these be preferred: rasional; riil, wilangan nyata?"
JV-T015,terminology_decision,2,OLP-0007,sets-functions-relations/sets/important-sets,upstream/content/sets-functions-relations/sets/important-sets.tex,24,translation/content/sets-functions-relations/sets/important-sets.tex,24,24,,Latn,jv-Latn-ID,wilangan rasional / wilangan real,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “wilangan rasional / wilangan real” clear and idiomatic for the constrained sense “rational / real number”, or should one of these be preferred: rasional; riil, wilangan nyata?"
JV-T016,terminology_decision,1,OLP-0007,sets-functions-relations/sets/important-sets,upstream/content/sets-functions-relations/sets/important-sets.tex,26,translation/content/sets-functions-relations/sets/important-sets.tex,50,50,,Latn,jv-Latn-ID,winates / tanpa wates,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “winates / tanpa wates” clear and idiomatic for the constrained sense “finite / infinite”, or should one of these be preferred: finit; infinit, winates; ora winates?"
JV-T016,terminology_decision,2,OLP-0007,sets-functions-relations/sets/important-sets,upstream/content/sets-functions-relations/sets/important-sets.tex,26,translation/content/sets-functions-relations/sets/important-sets.tex,26,26,,Latn,jv-Latn-ID,winates / tanpa wates,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “winates / tanpa wates” clear and idiomatic for the constrained sense “finite / infinite”, or should one of these be preferred: finit; infinit, winates; ora winates?"
JV-T017,terminology_decision,1,OLP-0007,sets-functions-relations/sets/important-sets,upstream/content/sets-functions-relations/sets/important-sets.tex,46,translation/content/sets-functions-relations/sets/important-sets.tex,48,48,,Latn,jv-Latn-ID,rerangken / urutan,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “rerangken / urutan” clear and idiomatic for the constrained sense “string / sequence”, or should one of these be preferred: senar; sekuens, urutan?"
JV-T017,terminology_decision,2,OLP-0007,sets-functions-relations/sets/important-sets,upstream/content/sets-functions-relations/sets/important-sets.tex,48,translation/content/sets-functions-relations/sets/important-sets.tex,50,50,,Latn,jv-Latn-ID,rerangken / urutan,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “rerangken / urutan” clear and idiomatic for the constrained sense “string / sequence”, or should one of these be preferred: senar; sekuens, urutan?"
JV-T018,terminology_decision,1,OLP-0008,sets-functions-relations/sets/unions-and-intersections,upstream/content/sets-functions-relations/sets/unions-and-intersections.tex,3,translation/content/sets-functions-relations/sets/unions-and-intersections.tex,10,10,,Latn,jv-Latn-ID,gabungan / irisan,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “gabungan / irisan” clear and idiomatic for the constrained sense “union / intersection”, or should one of these be preferred: union; interseksi, panyawijan; irisan?"
JV-T018,terminology_decision,2,OLP-0008,sets-functions-relations/sets/unions-and-intersections,upstream/content/sets-functions-relations/sets/unions-and-intersections.tex,3,translation/content/sets-functions-relations/sets/unions-and-intersections.tex,10,10,,Latn,jv-Latn-ID,gabungan / irisan,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “gabungan / irisan” clear and idiomatic for the constrained sense “union / intersection”, or should one of these be preferred: union; interseksi, panyawijan; irisan?"
JV-T019,terminology_decision,1,OLP-0008,sets-functions-relations/sets/unions-and-intersections,upstream/content/sets-functions-relations/sets/unions-and-intersections.tex,163,translation/content/sets-functions-relations/sets/unions-and-intersections.tex,176,176,,Latn,jv-Latn-ID,selisih himpunan / pisah,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “selisih himpunan / pisah” clear and idiomatic for the constrained sense “set difference / disjoint”, or should one of these be preferred: bedane himpunan, ora sesambungan?"
JV-T019,terminology_decision,2,OLP-0008,sets-functions-relations/sets/unions-and-intersections,upstream/content/sets-functions-relations/sets/unions-and-intersections.tex,77,translation/content/sets-functions-relations/sets/unions-and-intersections.tex,82,82,,Latn,jv-Latn-ID,selisih himpunan / pisah,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “selisih himpunan / pisah” clear and idiomatic for the constrained sense “set difference / disjoint”, or should one of these be preferred: bedane himpunan, ora sesambungan?"
JV-T020,terminology_decision,1,OLP-0009,sets-functions-relations/sets/pairs-and-products,upstream/content/sets-functions-relations/sets/pairs-and-products.tex,14,translation/content/sets-functions-relations/sets/pairs-and-products.tex,15,15,,Latn,jv-Latn-ID,pasangan urut / produk Kartesius,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “pasangan urut / produk Kartesius” clear and idiomatic for the constrained sense “ordered pair / Cartesian product”, or should one of these be preferred: pasangan katata, asil kaping Kartesius?"
JV-T020,terminology_decision,2,OLP-0009,sets-functions-relations/sets/pairs-and-products,upstream/content/sets-functions-relations/sets/pairs-and-products.tex,10,translation/content/sets-functions-relations/sets/pairs-and-products.tex,10,10,,Latn,jv-Latn-ID,pasangan urut / produk Kartesius,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “pasangan urut / produk Kartesius” clear and idiomatic for the constrained sense “ordered pair / Cartesian product”, or should one of these be preferred: pasangan katata, asil kaping Kartesius?"
JV-T021,terminology_decision,1,OLP-0010,sets-functions-relations/sets/russells-paradox,upstream/content/sets-functions-relations/sets/russells-paradox.tex,3,translation/content/sets-functions-relations/sets/russells-paradox.tex,11,11,,Latn,jv-Latn-ID,paradoks / teori himpunan naif,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “paradoks / teori himpunan naif” clear and idiomatic for the constrained sense “paradox / naive set theory”, or should one of these be preferred: paradoks; teori set naif?"
JV-T021,terminology_decision,2,OLP-0003,sets-functions-relations/sets-functions-relations-complete,upstream/content/sets-functions-relations/sets-functions-relations-complete.tex,10,translation/content/sets-functions-relations/sets-functions-relations-complete.tex,7,7,,Latn,jv-Latn-ID,paradoks / teori himpunan naif,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “paradoks / teori himpunan naif” clear and idiomatic for the constrained sense “paradox / naive set theory”, or should one of these be preferred: paradoks; teori set naif?"
JV-T022,terminology_decision,1,OLP-0005,sets-functions-relations/sets/basics,upstream/content/sets-functions-relations/sets/basics.tex,76,translation/content/sets-functions-relations/sets/basics.tex,76,76,,Latn,jv-Latn-ID,wilangan sampurna / pembagi sejati,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “wilangan sampurna / pembagi sejati” clear and idiomatic for the constrained sense “perfect number / proper divisor”, or should one of these be preferred: wilangan perfek, pembagi murni?"
JV-T023,terminology_decision,1,OLP-0012,sets-functions-relations/relations/relations-as-sets,upstream/content/sets-functions-relations/relations/relations-as-sets.tex,1,translation/content/sets-functions-relations/relations/relations-as-sets.tex,10,10,,Latn,jv-Latn-ID,relasi / relasi biner,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “relasi / relasi biner” clear and idiomatic for the constrained sense “relation / binary relation”, or should one of these be preferred: sesambungan, relasi loro panggonan?"
JV-T023,terminology_decision,2,OLP-0012,sets-functions-relations/relations/relations-as-sets,upstream/content/sets-functions-relations/relations/relations-as-sets.tex,55,translation/content/sets-functions-relations/relations/relations-as-sets.tex,61,61,,Latn,jv-Latn-ID,relasi / relasi biner,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “relasi / relasi biner” clear and idiomatic for the constrained sense “relation / binary relation”, or should one of these be preferred: sesambungan, relasi loro panggonan?"
JV-T024,terminology_decision,1,OLP-0014,sets-functions-relations/relations/special-properties,upstream/content/sets-functions-relations/relations/special-properties.tex,24,translation/content/sets-functions-relations/relations/special-properties.tex,26,26,,Latn,jv-Latn-ID,refleksif / irrefleksif / transitif,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “refleksif / irrefleksif / transitif” clear and idiomatic for the constrained sense “reflexive / irreflexive / transitive”, or should one of these be preferred: reflektif; nonrefleksif; transitif?"
JV-T024,terminology_decision,2,OLP-0014,sets-functions-relations/relations/special-properties,upstream/content/sets-functions-relations/relations/special-properties.tex,70,translation/content/sets-functions-relations/relations/special-properties.tex,75,75,,Latn,jv-Latn-ID,refleksif / irrefleksif / transitif,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “refleksif / irrefleksif / transitif” clear and idiomatic for the constrained sense “reflexive / irreflexive / transitive”, or should one of these be preferred: reflektif; nonrefleksif; transitif?"
JV-T024,terminology_decision,3,OLP-0014,sets-functions-relations/relations/special-properties,upstream/content/sets-functions-relations/relations/special-properties.tex,29,translation/content/sets-functions-relations/relations/special-properties.tex,31,31,,Latn,jv-Latn-ID,refleksif / irrefleksif / transitif,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “refleksif / irrefleksif / transitif” clear and idiomatic for the constrained sense “reflexive / irreflexive / transitive”, or should one of these be preferred: reflektif; nonrefleksif; transitif?"
JV-T025,terminology_decision,1,OLP-0014,sets-functions-relations/relations/special-properties,upstream/content/sets-functions-relations/relations/special-properties.tex,34,translation/content/sets-functions-relations/relations/special-properties.tex,36,36,,Latn,jv-Latn-ID,simetris / antisimetris / asimetris,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “simetris / antisimetris / asimetris” clear and idiomatic for the constrained sense “symmetric / anti-symmetric / asymmetric”, or should one of these be preferred: sawujud; antisawujud; asawujud?"
JV-T025,terminology_decision,2,OLP-0014,sets-functions-relations/relations/special-properties,upstream/content/sets-functions-relations/relations/special-properties.tex,46,translation/content/sets-functions-relations/relations/special-properties.tex,41,41,,Latn,jv-Latn-ID,simetris / antisimetris / asimetris,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “simetris / antisimetris / asimetris” clear and idiomatic for the constrained sense “symmetric / anti-symmetric / asymmetric”, or should one of these be preferred: sawujud; antisawujud; asawujud?"
JV-T025,terminology_decision,3,OLP-0014,sets-functions-relations/relations/special-properties,upstream/content/sets-functions-relations/relations/special-properties.tex,75,translation/content/sets-functions-relations/relations/special-properties.tex,80,80,,Latn,jv-Latn-ID,simetris / antisimetris / asimetris,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “simetris / antisimetris / asimetris” clear and idiomatic for the constrained sense “symmetric / anti-symmetric / asymmetric”, or should one of these be preferred: sawujud; antisawujud; asawujud?"
JV-T026,terminology_decision,1,OLP-0014,sets-functions-relations/relations/special-properties,upstream/content/sets-functions-relations/relations/special-properties.tex,58,translation/content/sets-functions-relations/relations/special-properties.tex,61,61,,Latn,jv-Latn-ID,koneks / tatanan / tatanan ketat,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “koneks / tatanan / tatanan ketat” clear and idiomatic for the constrained sense “connected / order / strict order”, or should one of these be preferred: kasambung, urutan; urutan ketat?"
JV-T026,terminology_decision,2,OLP-0014,sets-functions-relations/relations/special-properties,upstream/content/sets-functions-relations/relations/special-properties.tex,20,translation/content/sets-functions-relations/relations/special-properties.tex,22,22,,Latn,jv-Latn-ID,koneks / tatanan / tatanan ketat,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “koneks / tatanan / tatanan ketat” clear and idiomatic for the constrained sense “connected / order / strict order”, or should one of these be preferred: kasambung, urutan; urutan ketat?"
JV-T026,terminology_decision,3,OLP-0016,sets-functions-relations/relations/orders,upstream/content/sets-functions-relations/relations/orders.tex,82,translation/content/sets-functions-relations/relations/orders.tex,96,96,,Latn,jv-Latn-ID,koneks / tatanan / tatanan ketat,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “koneks / tatanan / tatanan ketat” clear and idiomatic for the constrained sense “connected / order / strict order”, or should one of these be preferred: kasambung, urutan; urutan ketat?"
JV-T027,terminology_decision,1,OLP-0012,sets-functions-relations/relations/relations-as-sets,upstream/content/sets-functions-relations/relations/relations-as-sets.tex,83,translation/content/sets-functions-relations/relations/relations-as-sets.tex,90,90,,Latn,jv-Latn-ID,relasi identitas / relasi universal / relasi kosong,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “relasi identitas / relasi universal / relasi kosong” clear and idiomatic for the constrained sense “identity relation / universal relation / empty relation”, or should one of these be preferred: relasi dhiri; relasi kabeh; relasi suwung?"
JV-T027,terminology_decision,2,OLP-0012,sets-functions-relations/relations/relations-as-sets,upstream/content/sets-functions-relations/relations/relations-as-sets.tex,115,translation/content/sets-functions-relations/relations/relations-as-sets.tex,126,126,,Latn,jv-Latn-ID,relasi identitas / relasi universal / relasi kosong,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “relasi identitas / relasi universal / relasi kosong” clear and idiomatic for the constrained sense “identity relation / universal relation / empty relation”, or should one of these be preferred: relasi dhiri; relasi kabeh; relasi suwung?"
JV-T027,terminology_decision,3,OLP-0012,sets-functions-relations/relations/relations-as-sets,upstream/content/sets-functions-relations/relations/relations-as-sets.tex,113,translation/content/sets-functions-relations/relations/relations-as-sets.tex,124,124,,Latn,jv-Latn-ID,relasi identitas / relasi universal / relasi kosong,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “relasi identitas / relasi universal / relasi kosong” clear and idiomatic for the constrained sense “identity relation / universal relation / empty relation”, or should one of these be preferred: relasi dhiri; relasi kabeh; relasi suwung?"
JV-T028,terminology_decision,1,OLP-0010,sets-functions-relations/sets/russells-paradox,upstream/content/sets-functions-relations/sets/russells-paradox.tex,22,translation/content/sets-functions-relations/sets/russells-paradox.tex,23,23,,Latn,jv-Latn-ID,komprehensi / kontradiksi / aksioma,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “komprehensi / kontradiksi / aksioma” clear and idiomatic for the constrained sense “comprehension / contradiction / axiom”, or should one of these be preferred: pangumpulan adhedhasar sipat, suwal; postulat?"
JV-T028,terminology_decision,2,OLP-0010,sets-functions-relations/sets/russells-paradox,upstream/content/sets-functions-relations/sets/russells-paradox.tex,24,translation/content/sets-functions-relations/sets/russells-paradox.tex,25,25,,Latn,jv-Latn-ID,komprehensi / kontradiksi / aksioma,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “komprehensi / kontradiksi / aksioma” clear and idiomatic for the constrained sense “comprehension / contradiction / axiom”, or should one of these be preferred: pangumpulan adhedhasar sipat, suwal; postulat?"
JV-T028,terminology_decision,3,OLP-0010,sets-functions-relations/sets/russells-paradox,upstream/content/sets-functions-relations/sets/russells-paradox.tex,76,translation/content/sets-functions-relations/sets/russells-paradox.tex,87,87,,Latn,jv-Latn-ID,komprehensi / kontradiksi / aksioma,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “komprehensi / kontradiksi / aksioma” clear and idiomatic for the constrained sense “comprehension / contradiction / axiom”, or should one of these be preferred: pangumpulan adhedhasar sipat, suwal; postulat?"
JV-T030,terminology_decision,1,OLP-0015,sets-functions-relations/relations/equivalence-relations,upstream/content/sets-functions-relations/relations/equivalence-relations.tex,11,translation/content/sets-functions-relations/relations/equivalence-relations.tex,11,11,,Latn,jv-Latn-ID,relasi ekuivalensi / kelas ekuivalensi / kuosien / partisi,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “relasi ekuivalensi / kelas ekuivalensi / kuosien / partisi” clear and idiomatic for the constrained sense “equivalence relation / class / quotient / partition”, or should one of these be preferred: kelas padha; himpunan bagi; pamerangan?"
JV-T030,terminology_decision,2,OLP-0015,sets-functions-relations/relations/equivalence-relations,upstream/content/sets-functions-relations/relations/equivalence-relations.tex,5,translation/content/sets-functions-relations/relations/equivalence-relations.tex,24,24,,Latn,jv-Latn-ID,relasi ekuivalensi / kelas ekuivalensi / kuosien / partisi,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “relasi ekuivalensi / kelas ekuivalensi / kuosien / partisi” clear and idiomatic for the constrained sense “equivalence relation / class / quotient / partition”, or should one of these be preferred: kelas padha; himpunan bagi; pamerangan?"
JV-T030,terminology_decision,3,OLP-0015,sets-functions-relations/relations/equivalence-relations,upstream/content/sets-functions-relations/relations/equivalence-relations.tex,34,translation/content/sets-functions-relations/relations/equivalence-relations.tex,37,37,,Latn,jv-Latn-ID,relasi ekuivalensi / kelas ekuivalensi / kuosien / partisi,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “relasi ekuivalensi / kelas ekuivalensi / kuosien / partisi” clear and idiomatic for the constrained sense “equivalence relation / class / quotient / partition”, or should one of these be preferred: kelas padha; himpunan bagi; pamerangan?"
JV-T030,terminology_decision,4,OLP-0015,sets-functions-relations/relations/equivalence-relations,upstream/content/sets-functions-relations/relations/equivalence-relations.tex,25,translation/content/sets-functions-relations/relations/equivalence-relations.tex,26,26,,Latn,jv-Latn-ID,relasi ekuivalensi / kelas ekuivalensi / kuosien / partisi,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “relasi ekuivalensi / kelas ekuivalensi / kuosien / partisi” clear and idiomatic for the constrained sense “equivalence relation / class / quotient / partition”, or should one of these be preferred: kelas padha; himpunan bagi; pamerangan?"
JV-T031,terminology_decision,1,OLP-0016,sets-functions-relations/relations/orders,upstream/content/sets-functions-relations/relations/orders.tex,22,translation/content/sets-functions-relations/relations/orders.tex,24,24,,Latn,jv-Latn-ID,pratatanan / tatanan parsial / tatanan total utawa linear,provisional_composition,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “pratatanan / tatanan parsial / tatanan total utawa linear” clear and idiomatic for the constrained sense “preorder / partial order / total or linear order”, or should one of these be preferred: praurutan; urutan sebagean; urutan linear?"
JV-T031,terminology_decision,2,OLP-0016,sets-functions-relations/relations/orders,upstream/content/sets-functions-relations/relations/orders.tex,27,translation/content/sets-functions-relations/relations/orders.tex,28,28,,Latn,jv-Latn-ID,pratatanan / tatanan parsial / tatanan total utawa linear,provisional_composition,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “pratatanan / tatanan parsial / tatanan total utawa linear” clear and idiomatic for the constrained sense “preorder / partial order / total or linear order”, or should one of these be preferred: praurutan; urutan sebagean; urutan linear?"
JV-T032,terminology_decision,1,OLP-0016,sets-functions-relations/relations/orders,upstream/content/sets-functions-relations/relations/orders.tex,100,translation/content/sets-functions-relations/relations/orders.tex,116,116,,Latn,jv-Latn-ID,tutupan refleksif / ekstensi / perangan wiwitan,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “tutupan refleksif / ekstensi / perangan wiwitan” clear and idiomatic for the constrained sense “reflexive closure / extension / initial segment”, or should one of these be preferred: panutupan refleksif; perluasan; segmen wiwitan?"
JV-T032,terminology_decision,2,OLP-0016,sets-functions-relations/relations/orders,upstream/content/sets-functions-relations/relations/orders.tex,73,translation/content/sets-functions-relations/relations/orders.tex,83,83,,Latn,jv-Latn-ID,tutupan refleksif / ekstensi / perangan wiwitan,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “tutupan refleksif / ekstensi / perangan wiwitan” clear and idiomatic for the constrained sense “reflexive closure / extension / initial segment”, or should one of these be preferred: panutupan refleksif; perluasan; segmen wiwitan?"
JV-T032,terminology_decision,3,OLP-0016,sets-functions-relations/relations/orders,upstream/content/sets-functions-relations/relations/orders.tex,77,translation/content/sets-functions-relations/relations/orders.tex,89,89,,Latn,jv-Latn-ID,tutupan refleksif / ekstensi / perangan wiwitan,provisional_specialization,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “tutupan refleksif / ekstensi / perangan wiwitan” clear and idiomatic for the constrained sense “reflexive closure / extension / initial segment”, or should one of these be preferred: panutupan refleksif; perluasan; segmen wiwitan?"
JV-T033,terminology_decision,1,OLP-0017,sets-functions-relations/relations/graphs,upstream/content/sets-functions-relations/relations/graphs.tex,3,translation/content/sets-functions-relations/relations/graphs.tex,10,10,,Latn,jv-Latn-ID,graf / graf mawa arah / simpul / rusuk,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “graf / graf mawa arah / simpul / rusuk” clear and idiomatic for the constrained sense “graph / directed graph / vertex / edge”, or should one of these be preferred: grafa; titik; sisi?"
JV-T033,terminology_decision,2,OLP-0017,sets-functions-relations/relations/graphs,upstream/content/sets-functions-relations/relations/graphs.tex,21,translation/content/sets-functions-relations/relations/graphs.tex,24,24,,Latn,jv-Latn-ID,graf / graf mawa arah / simpul / rusuk,provisional_borrowing,tracked,,,pending_next_accepted_reader_pagination,"For formal written Javanese, is “graf / graf mawa arah / simpul / rusuk” clear and idiomatic for the constrained sense “graph / directed graph / vertex / edge”, or should one of these be preferred: grafa; titik; sisi?"
